iter	MultiRMSE
0	14.51969136
1	14.03273859
2	13.23981137
3	12.57794724
4	12.00566081
5	11.50459915
6	10.93205154
7	10.6837841
8	10.2805804
9	9.900376499
10	9.484217746
11	9.208948091
12	8.894690402
13	8.676186221
14	8.33519765
15	8.021291159
16	7.770696951
17	7.538151554
18	7.341431377
19	7.195625454
20	7.023913972
21	6.806687594
22	6.62415732
23	6.566483327
24	6.410239607
25	6.265133805
26	6.153223556
27	6.050960641
28	5.984159603
29	5.875237993
30	5.832989551
31	5.778980519
32	5.669032185
33	5.631880357
34	5.48891607
35	5.382180697
36	5.320747925
37	5.219457354
38	5.138541999
39	5.099147752
40	5.049986271
41	4.942095447
42	4.896091591
43	4.858006787
44	4.774757858
45	4.730162526
46	4.653575533
47	4.627248695
48	4.538241084
49	4.485222832
50	4.408727507
51	4.354623936
52	4.318763452
53	4.287308559
54	4.245208877
55	4.17143678
56	4.157521435
57	4.115771628
58	4.064713398
59	4.023606027
60	3.963009601
61	3.9093886
62	3.885173451
63	3.828997933
64	3.789908916
65	3.761524118
66	3.702526969
67	3.662746248
68	3.635306857
69	3.592915278
70	3.544686496
71	3.495429343
72	3.460011824
73	3.401546503
74	3.374350078
75	3.34617479
76	3.309413897
77	3.27360846
78	3.240478777
79	3.205177132
80	3.191736999
81	3.154479606
82	3.126129969
83	3.092314532
84	3.057205226
85	3.023836749
86	2.985381035
87	2.971463306
88	2.943753819
89	2.917892391
90	2.885248253
91	2.870626424
92	2.844690771
93	2.826521739
94	2.799492463
95	2.774964554
96	2.752873872
97	2.732640144
98	2.712835058
99	2.69593265
100	2.675588175
101	2.660561118
102	2.647882897
103	2.626550424
104	2.616332069
105	2.603781249
106	2.58997844
107	2.579646086
108	2.546154743
109	2.527801482
110	2.509811083
111	2.491100752
112	2.478756164
113	2.466576555
114	2.449187328
115	2.420729731
116	2.410960578
117	2.398263954
118	2.391712478
119	2.3789307
120	2.371850149
121	2.363896611
122	2.35019026
123	2.342827942
124	2.337650439
125	2.33105482
126	2.315188658
127	2.310303227
128	2.299524072
129	2.27768477
130	2.272771489
131	2.245740406
132	2.239963898
133	2.216010445
134	2.211401818
135	2.201906797
136	2.19796541
137	2.189565117
138	2.176978847
139	2.169993077
140	2.167313686
141	2.164072599
142	2.154733206
143	2.146929543
144	2.139339152
145	2.121493565
146	2.117061065
147	2.111801351
148	2.106625514
149	2.10143917
150	2.098583562
151	2.091748619
152	2.087012689
153	2.083527141
154	2.071735003
155	2.067785264
156	2.06354868
157	2.055180013
158	2.04209394
159	2.034309811
160	2.030527715
161	2.025765579
162	2.022105131
163	2.016543787
164	2.007298033
165	2.003453992
166	1.996658147
167	1.986863399
168	1.982909393
169	1.978433781
170	1.975315807
171	1.970944311
172	1.96777287
173	1.962027407
174	1.958476226
175	1.946176477
176	1.940750383
177	1.937265748
178	1.935332669
179	1.931222291
180	1.928745132
181	1.912880462
182	1.908136583
183	1.906590067
184	1.901182886
185	1.89426339
186	1.891590976
187	1.887780708
188	1.886743533
189	1.88429642
190	1.882021374
191	1.879840983
192	1.87815129
193	1.876129234
194	1.87352575
195	1.871498643
196	1.870127415
197	1.866212295
198	1.864590251
199	1.849296876
200	1.847426727
201	1.846459475
202	1.842077796
203	1.83952755
204	1.826052585
205	1.824503278
206	1.816813805
207	1.814210247
208	1.809368798
209	1.806926401
210	1.804566306
211	1.80279603
212	1.800810917
213	1.799419891
214	1.796055785
215	1.790291309
216	1.788180324
217	1.784708498
218	1.781433709
219	1.77877826
220	1.777708642
221	1.777030695
222	1.773890828
223	1.765024337
224	1.762379828
225	1.750422657
226	1.74785823
227	1.74532861
228	1.74183247
229	1.738104052
230	1.735003832
231	1.733421533
232	1.731565658
233	1.729872467
234	1.719716645
235	1.719021108
236	1.711867527
237	1.707832145
238	1.706471984
239	1.705134707
240	1.702446639
241	1.698855637
242	1.695573663
243	1.694027978
244	1.691452518
245	1.688206605
246	1.681997792
247	1.6802788
248	1.678867199
249	1.673744679
250	1.671263021
251	1.668358764
252	1.66638784
253	1.665026555
254	1.663158117
255	1.661233963
256	1.656877725
257	1.649815833
258	1.648469419
259	1.647586258
260	1.646219545
261	1.644749062
262	1.642241304
263	1.640530347
264	1.638955553
265	1.637214656
266	1.635078925
267	1.634070077
268	1.632061576
269	1.63129243
270	1.629127609
271	1.626702433
272	1.625062792
273	1.623724444
274	1.622386646
275	1.621272779
276	1.61974506
277	1.618455185
278	1.616111204
279	1.614705403
280	1.61247145
281	1.610289216
282	1.609449475
283	1.60802715
284	1.605055589
285	1.601777089
286	1.600333176
287	1.598672159
288	1.597655611
289	1.594485153
290	1.59352978
291	1.592251913
292	1.589653677
293	1.588765128
294	1.58495982
295	1.582950884
296	1.580495237
297	1.578569857
298	1.576304159
299	1.574349901
300	1.573515367
301	1.570874839
302	1.568064242
303	1.567260905
304	1.566039507
305	1.563980468
306	1.563233969
307	1.561094184
308	1.56040992
309	1.558209169
310	1.557488729
311	1.556242369
312	1.555213767
313	1.553706667
314	1.55234991
315	1.548763359
316	1.547945011
317	1.547333144
318	1.54534232
319	1.544124625
320	1.542620639
321	1.540298737
322	1.538893941
323	1.537573778
324	1.536929785
325	1.536161816
326	1.534986805
327	1.533907385
328	1.533252779
329	1.532008168
330	1.531787151
331	1.530846983
332	1.529987766
333	1.527903937
334	1.526629427
335	1.526246784
336	1.522502193
337	1.520211138
338	1.519517514
339	1.518905992
340	1.518493239
341	1.516492761
342	1.515876407
343	1.513794947
