iter	Passed	Remaining
0	2	1108
1	4	1030
2	5	993
3	7	987
4	9	961
5	11	962
6	13	964
7	17	1060
8	19	1037
9	20	1012
10	22	995
11	24	983
12	26	982
13	28	984
14	30	976
15	32	969
16	33	960
17	35	960
18	37	954
19	39	955
20	41	948
21	43	939
22	44	931
23	46	924
24	48	919
25	50	914
26	51	908
27	53	901
28	55	894
29	56	886
30	57	868
31	58	854
32	60	849
33	61	846
34	63	843
35	65	838
36	66	833
37	68	833
38	70	832
39	72	830
40	74	831
41	76	833
42	78	830
43	80	834
44	82	834
45	84	836
46	87	840
47	89	838
48	91	837
49	93	838
50	95	836
51	96	834
52	98	831
53	100	828
54	102	827
55	104	826
56	105	821
57	107	819
58	109	818
59	111	816
60	113	816
61	115	814
62	117	812
63	119	810
64	120	808
65	122	807
66	124	807
67	126	806
68	128	804
69	130	801
70	132	800
71	134	798
72	136	795
73	137	793
74	139	791
75	141	789
76	143	788
77	145	786
78	147	785
79	149	784
80	151	781
81	152	779
82	154	777
83	156	776
84	158	773
85	160	774
86	162	772
87	164	771
88	166	769
89	168	767
90	170	765
91	172	763
92	174	762
93	175	760
94	177	758
95	179	757
96	181	755
97	183	753
98	185	751
99	187	749
100	189	747
101	190	744
102	192	743
103	194	740
104	196	739
105	198	737
106	200	735
107	202	734
108	204	732
109	205	730
110	207	728
111	209	726
112	211	724
113	213	723
114	215	721
115	217	719
116	219	718
117	221	716
118	223	715
119	225	713
120	227	711
121	229	709
122	230	707
123	232	705
124	234	702
125	236	700
126	237	698
127	239	696
128	241	695
129	243	693
130	245	691
131	247	689
132	249	687
133	250	685
134	252	683
135	254	681
136	257	682
137	259	680
138	261	679
139	263	677
140	265	675
141	266	673
142	268	671
143	270	669
144	272	667
145	274	666
146	277	665
147	278	663
148	280	661
149	282	660
150	284	657
151	286	655
152	288	654
153	290	652
154	292	649
155	293	647
156	295	645
157	297	643
158	298	641
159	300	639
160	302	637
161	304	635
162	306	633
163	308	631
164	310	629
165	311	627
166	313	625
167	315	623
168	317	621
169	319	619
170	320	617
171	322	615
172	324	613
173	326	611
174	328	609
175	330	607
176	332	606
177	333	604
178	335	602
179	338	600
180	339	598
181	341	596
182	343	594
183	345	592
184	347	590
185	348	589
186	350	587
187	352	585
188	354	583
189	356	582
190	358	580
191	360	578
192	362	576
193	364	574
194	366	573
195	367	570
196	369	568
197	371	566
198	373	564
199	375	563
200	377	561
201	385	568
202	386	565
203	388	564
204	390	561
205	392	559
206	393	557
207	395	555
208	397	553
209	399	551
210	401	549
211	403	547
212	405	545
213	406	543
214	408	541
215	409	538
216	411	537
217	413	535
218	415	533
219	417	531
220	419	529
221	420	526
222	422	525
223	424	523
224	426	521
225	428	519
226	430	517
227	432	516
228	434	514
229	436	512
230	438	510
231	440	508
232	441	506
233	443	504
234	445	502
235	447	500
236	449	498
237	451	496
238	453	494
239	455	492
240	456	491
241	458	489
242	460	487
243	462	485
244	464	483
245	466	481
246	468	479
247	470	478
248	472	475
249	473	473
250	475	472
251	477	470
252	479	468
253	481	466
254	483	464
255	484	462
256	486	460
257	488	457
258	489	455
259	491	453
260	492	451
261	494	448
262	495	446
263	497	445
264	500	443
265	502	441
266	503	439
267	505	437
268	507	435
269	509	433
270	510	431
271	512	429
272	514	427
273	516	425
274	518	423
275	519	421
276	521	420
277	523	418
278	525	416
279	527	414
280	528	412
281	530	410
282	532	408
283	534	406
284	536	404
285	538	402
286	540	400
287	542	398
288	543	396
289	545	395
290	547	393
291	549	391
292	551	389
293	553	387
294	554	385
295	556	383
296	558	381
297	560	379
298	562	377
299	563	375
300	565	373
301	567	372
302	569	370
303	570	368
304	572	366
305	574	364
306	576	362
307	578	360
308	580	358
309	582	356
310	584	354
311	585	352
312	588	351
313	590	349
314	591	347
315	593	345
316	595	343
317	597	341
318	598	339
319	600	337
320	602	336
321	604	334
322	606	332
323	608	330
324	610	328
325	612	326
326	614	324
327	615	322
328	617	320
329	619	319
330	620	316
331	622	314
332	623	312
333	625	310
334	627	308
335	628	306
336	630	305
337	632	303
338	634	301
339	636	299
340	637	297
341	639	295
342	641	293
343	643	291
344	646	290
345	648	288
346	649	286
347	651	284
348	653	282
349	655	280
350	657	278
351	658	277
352	660	274
353	662	273
354	663	271
355	665	269
356	667	267
357	669	265
358	671	263
359	673	261
360	675	260
361	677	258
362	678	256
363	680	254
364	682	252
365	684	250
366	685	248
367	687	246
368	689	244
369	691	242
370	693	241
371	695	239
372	696	237
373	698	235
374	700	233
375	701	231
376	703	229
377	705	227
378	707	225
379	709	224
380	711	222
381	713	220
382	715	218
383	717	216
384	719	214
385	721	212
386	722	211
387	724	209
388	726	207
389	728	205
390	729	203
391	731	201
392	733	199
393	735	197
394	737	195
395	739	194
396	741	192
397	743	190
398	745	188
399	747	186
400	749	185
401	750	183
402	752	181
403	754	179
404	756	177
405	758	175
406	760	173
407	761	171
408	763	169
409	765	168
410	767	166
411	769	164
412	771	162
413	773	160
414	775	158
415	777	157
416	779	155
417	780	153
418	782	151
419	784	149
420	786	147
421	787	145
422	789	143
423	791	141
424	793	139
425	795	138
426	797	136
427	798	134
428	800	132
429	802	130
430	804	128
431	806	126
432	807	124
433	809	123
434	811	121
435	813	119
436	815	117
437	817	115
438	818	113
439	820	111
440	822	110
441	824	108
442	826	106
443	828	104
444	830	102
445	832	100
446	834	98
447	835	97
448	837	95
449	839	93
450	841	91
451	843	89
452	845	87
453	847	85
454	848	83
455	850	82
456	852	80
457	853	78
458	855	76
459	857	74
460	859	72
461	860	70
462	862	68
463	864	67
464	866	65
465	868	63
466	869	61
467	871	59
468	872	57
469	874	55
470	876	53
471	878	52
472	879	50
473	881	48
474	883	46
475	884	44
476	886	42
477	888	40
478	890	39
479	892	37
480	894	35
481	896	33
482	898	31
483	900	29
484	901	27
485	903	26
486	904	24
487	906	22
488	908	20
489	910	18
490	912	16
491	914	14
492	915	13
493	917	11
494	918	9
495	920	7
496	921	5
497	923	3
498	925	1
499	927	0
